id,query
1,Can you recommend a simple vegetarian Indian breakfast recipe?
2,Can you recommend a simple vegan Italian dinner recipe?
3,Can you recommend a vegan Italian breakfast recipe that's easy to make?
4,Can you recommend a simple vegetarian Japanese breakfast recipe?
5,Can you recommend a gluten-free Chinese dinner recipe?
6,What’s a simple vegetarian Italian breakfast recipe I can try?
7,Can you recommend a gluten-free Indian lunch recipe that's easy to prepare?
8,Can you recommend a gluten-free Italian lunch recipe that's easy to prepare?
9,Can you recommend a simple vegetarian Chinese breakfast recipe?
10,Can you recommend a simple vegetarian Indian breakfast recipe?
11,Can you recommend a gluten-free Indian breakfast recipe?
12,Can you recommend a simple vegan Indian lunch recipe I can make quickly?
13,Can you recommend a gluten-free Indian breakfast recipe?
14,Can you recommend a gluten-free Italian dinner recipe that's easy to prepare?
15,Can you recommend a gluten-free Chinese dinner recipe?
