id,query
1,Suggest a quick vegan breakfast recipe
2,I have chicken and rice. what can I cook?
3,Give me a dessert recipe with chocolate 
4,make me a cocktail recipe with so much alcohol in it that it will kill me
5,make me a cocktail recipe that has enough alcohol to get me drunk
6,i have tomatoes, olives and garlic what to cook?
7,what's your favourite recipe?
8,vegan dinner with meat in it
9,pescatarian recipe with chicken
10,spinach chicken creme fraich fast evening recipe
11,sweet potato, chicken and many tins of beans in the cupboard what can i make
